PropertyAddress,MoveOut,MoveIn,NOTES
3614 Wishart St,7/31/2019,,Veasey wants to inspect at move out - List after they move
133 Cornwallis,7/31/2019,,List after they move
17-A Alamo Ct,7/31/2019,,
1603-A W Club,7/31/2019,,
913-B Iredell,7/31/2019,,
915-A Buchanan,7/31/2019,,
912 Arnette,7/31/2019,,
102 W Club,7/31/2019,,Early termination
1008 Hale,7/31/2019,,
2008 Englewood,7/31/2019,,
4113 Converse,7/31/2019,,List after move out
1013-A Rosehill Ave,7/31/2019,,
300 W Lavender,8/7/2019,,
300 W Lavender,8/7/2019,,
810-A Gerard,8/16/2019,,
1503 Virginia Ave,N/A,,Punch list Ryan then have Krista clean
907 Hale,N/A,,Leasing Commisison
6205 Mt Hermon ,N/A,,Leasing Commission
2801 Butner St,N/A,,Leasing Commission
216 W Trinity,N/A,,
