PropertyAddress,MoveOut,MoveIn
1823 James,N/A,2/20/15
312-106 Buchanan,N/A,2/20/15
9301 Johnson Mill,N/A,2/28/15
312-407 Buchanan,N/A,3/1/15
312-402 Buchanan,N/A,3/1/15
801-A Green,N/A,4/3/15
1021-A Carolina,N/A,4/7/15
312-301 Buchanan,N/A,4/15/15
1007 1/2 Rosehill,N/A,4/18/15
708 Lynn,N/A,4/28/15
1021 Carolina,N/A,5/1/15
801-B Green,N/A,5/8/15
1710 James St,N/A,5/9/15
312-302 Buchanan,N/A,5/20/15
312-202 Buchanan,N/A,5/28/15
4214-D Oran,N/A,6/22/15
713 W Knox,N/A,7/10/15
303 Intern Way,N/A,7/10/15
2602 Bullock,N/A,7/17/15
500 N. Duke St,N/A,8/1/15
914-4 Monmouth,N/A,8/15/15
914-1 Monmouth,N/A,8/15/15
914-2 Monmouth,N/A,8/15/15
116 1/2 Edgewood,N/A,9/1/15
914-3 Monmouth,N/A,9/4/15
2718 Omah,N/A,10/15/15
1310B Marne,N/A,11/1/15
2100 Ferrell,N/A,12/15/15
1202 Marne,N/A,12/18/15
1000 W Forest Hills,N/A,
6201 Mt Herman Rd,N/A,
2707 A Lawndale,??,Reno
2707 B Lawndale,??,Reno
2629 Lawndale Ave,,Reno
911-A Rosehill,,Reno
104-B W Club,,Reno
1712 James,,
