PropertyAddress,MoveOut,MoveIn
1309 Norton St,5/31/2015,7/8/2015
1012-B Ninth,5/31/2015,7/1/2015
910-A Ninth ST,5/31/2015,7/1/2015
312-406 Buchanan,5/31/2015,7/1/2015
2728 Holloway,5/31/2015,7/1/2015
313 N Buchanan #303,5/31/2015,7/1/2015
1010-B Ninth,5/31/2015,6/26/2015
1201-2 Elizabeth,5/31/2015,6/26/2015
204 E Markham #2,5/31/2015,6/22/2015
1603-A W Club,5/31/2015,6/20/2015
1600-B W. Club,5/31/2015,6/19/2015
312-404 Buchanan,5/31/2015,6/15/2015
1010-B Clarendon,5/31/2015,6/12/2015
907A Rosehill,5/31/2015,6/12/2015
1708 A Englewood,5/31/2015,6/12/2015
1001 Urban,5/31/2015,6/12/2015
1109 Arnette,5/31/2015,6/12/2015
1309 Norton St,5/31/2015,6/8/2015
1019-A Ninth,5/31/2015,6/8/2015
3004 Buckingham,5/31/2015,6/8/2015
1201-3 Elizabeth,5/31/2015,6/5/2015
2629 Hitchcock,5/31/2015,6/5/2015
2210 Alabama,5/31/2015,5/29/2015
1019-B Ninth St,5/31/2015,
1011-A Buchanan,6/1/2015,6/15/2015
1113 Ninth ,6/6/2015,6/23/2015
1002-B Clarendon,6/8/2015,6/15/2015
1726 Vista,6/16/2015,7/15/2015
1712 James,6/30/2015,9/15/2015
1322-C Marne,6/30/2015,9/4/2015
1322-A Marne,6/30/2015,8/28/2015
904 Rome,6/30/2015,8/26/2015
1606 Maryland,6/30/2015,8/24/2015
1020 Ninth St,6/30/2015,8/17/2015
1011-19 Morreene,6/30/2015,8/3/2015
105B Delafield,6/30/2015,8/1/2015
1011-14 Morreene,6/30/2015,8/1/2015
1011-2 Ninth,6/30/2015,7/27/2015
1008 Hale,6/30/2015,7/26/2015
1011 Morreene #15,6/30/2015,7/20/2015
4609 Jimmy Rogers,6/30/2015,7/18/2015
909-A Rosehill,6/30/2015,7/15/2015
1123 Iredell,6/30/2015,7/15/2015
12 riverwalk,6/30/2015,7/15/2015
914 Ninth,6/30/2015,7/15/2015
2504 Green,6/30/2015,7/13/2015
1001-B Carolina,6/30/2015,7/10/2015
1116-A Ninth,6/30/2015,7/10/2015
312 N Buchanan #205,6/30/2015,7/10/2015
2700 Omah St,6/30/2015,7/10/2015
5 Drummond,6/30/2015,7/10/2015
1011-20 Morreene ,6/30/2015,7/10/2015
911-A Clarendon,6/30/2015,7/8/2015
611 SouthShore,6/30/2015,
903-Front Iredell,7/1/2015,7/11/2015
312 N Buchanan #102,7/3/2015,7/10/2015
807 Clarendon,7/10/2015,7/18/2015
312 Buchanan #105,7/13/2015,8/3/2015
1007 Ninth,7/15/2015,
909-A Clarendon,7/16/2015,8/3/2015
100A W Club,7/24/2015,8/9/2015
2113-A Peppertree,7/29/2015,8/28/2015
2420 Perkins,7/29/2015,8/1/2015
910UP Arnette,7/30/2015,9/1/2015
1012-A Ninth,7/31/2015,11/15/2015
29 Edgebrook,7/31/2015,10/31/2015
907B Rosehill,7/31/2015,8/21/2015
312 N Buchanan #206,7/31/2015,8/21/2015
1013-2 Ninth St,7/31/2015,8/20/2015
924-A Alabama,7/31/2015,8/15/2015
33 signet,7/31/2015,8/15/2015
920-B Hale,7/31/2015,8/15/2015
1725 TW Alexander,7/31/2015,8/15/2015
4721 High Meadow,7/31/2015,8/15/2015
805 Clarendon,7/31/2015,8/15/2015
1006-B Clarendon,7/31/2015,8/15/2015
1111-B Georgia,7/31/2015,8/14/2015
835B Wilkerson,7/31/2015,8/14/2015
1015-B Clarendon,7/31/2015,8/12/2015
907Back Iredell,7/31/2015,8/12/2015
1018 Ninth,7/31/2015,8/10/2015
911-B Clarendon,7/31/2015,8/10/2015
3012 Alabama,7/31/2015,8/10/2015
1009 Ninth,7/31/2015,8/10/2015
325 Old Fox,7/31/2015,8/10/2015
416A Edward,7/31/2015,8/10/2015
1825 James,7/31/2015,8/7/2015
1011-28 Morreene,7/31/2015,8/7/2015
4215 Ellisfield,7/31/2015,8/4/2015
208 N Buchana #6,7/31/2015,8/4/2015
2518-B Englewood,7/31/2015,8/1/2015
848 Estes,8/3/2015,8/21/2015
1104 Fiske,8/7/2015,10/28/2015
913-B Iredell,8/7/2015,8/15/2015
2034 Englewood,8/7/2015,8/14/2015
4214-C Oran,8/15/2015,11/13/2015
15 Hawthorne,8/15/2015,9/1/2015
4419B American Dr,8/16/2015,8/24/2015
312-103 N Buchanan,8/17/2015,9/1/2015
1004-B Clarendon,8/20/2015,8/27/2015
8132 Oxford Rd,8/27/2015,10/28/2015
1010 Virgie,8/29/2015,9/19/2015
911-B Rome,8/30/2015,9/25/2015
911-A Iredell,8/31/2015,1/22/2016
911-A Iredell,8/31/2015,1/22/2016
2302 Pleasant Green,8/31/2015,11/13/2015
1331 Hamlin,8/31/2015,10/26/2015
1310A Marne,8/31/2015,10/14/2015
3503 Cole Mill,8/31/2015,9/26/2015
70 Candytuff,8/31/2015,9/9/2015
1011-27 Morreene,8/31/2015,9/8/2015
107 E Club,8/31/2015,9/2/2015
1011-8 Morreene,8/31/2015,9/1/2015
3614 Wishart,9/10/2015,9/15/2015
312-307 Buchanan,9/17/2015,
903 N Duke,9/19/2015,9/22/2015
2209 W Knox,9/30/2015,10/15/2015
4205B Delbert,9/30/2015,
4205B Delbert,9/30/2015,
636-B w Club B,10/1/2015,10/31/2015
1113-3 Camden,10/1/2015,
1113-3 Camden,10/1/2015,
207 B Bridgefield,10/15/2015,11/7/2015
1116 Ninth st,10/16/2015,10/28/2015
204-3 E Markham,10/22/2015,10/23/2015
1403 Georgia,10/31/2015,12/26/2015
201 down Albemarle,10/31/2015,
1011-24 Morreene,11/1/2015,11/6/2015
1326-B Marne,11/2/2015,12/17/2016
1318-D Marne,11/2/2015,
1008 Lynn Rd,11/30/2015,12/7/2015
312-303 N Buchanan,11/30/2015,12/5/2015
5818-A Miami,12/2/2015,2/2/2016
5818-A Miami,12/2/2015,
1022 Ninth,12/4/2015,12/4/2015
1021-A Carolina,12/11/2015,1/8/2016
1021-A Carolina,12/11/2015,1/8/2016
4721 High Meadow,12/22/2015,12/23/2015
116A Edgewood,12/23/2015,10/1/2016
116A Edgewood,12/23/2015,
1015-3 Ninth,12/31/2015,5/29/2016
3619 C View,12/31/2015,4/1/2016
409 Newsom,12/31/2015,3/7/2016
2208 W Knox,12/31/2015,1/15/2016
5500 Fortunes Ridge #100,12/31/2015,1/15/2016
2208 W Knox,12/31/2015,1/15/2016
5500 Fortunes Ridge #100,12/31/2015,1/15/2016
810B Gerard,12/31/2015,1/14/2016
810B Gerard,12/31/2015,1/14/2016
1011-1 Morreene,12/31/2015,1/8/2016
1011-1 Morreene,12/31/2015,1/8/2016
3619 C View,12/31/2015,
730 Rutherford,12/31/2015,
1015-3 Ninth,12/31/2015,
4214-B Oran Ave,12/31/2015,
409 Newsom,12/31/2015,
730 Rutherford,12/31/2015,
312-405 Buchanan,1/8/2016,3/20/2016
914-3 Monmouth,1/8/2016,1/9/2016
914-3 Monmouth,1/8/2016,1/9/2016
312-405 Buchanan,1/8/2016,
2333 Glendale,1/11/2016,
1004 Virgie,1/12/2016,1/22/2016
1004 Virgie,1/12/2016,1/22/2016
914 Hale,1/15/2016,1/22/2016
914 Hale,1/15/2016,1/22/2016
1011-2 Morreene,1/17/2016,3/11/2016
1406-A W Markham,1/31/2016,7/22/2016
312-104 Buchanan,1/31/2016,3/1/2016
1003B Broad,1/31/2016,3/1/2016
2716 Shaftsbury St,1/31/2016,3/1/2016
4418 Talcott,1/31/2016,3/1/2016
312-104 Buchanan,1/31/2016,
201 up Albemarle,1/31/2016,
1406-A W Markham,1/31/2016,
4418 Talcott,1/31/2016,
1830 James,1/31/2016,
2716 Shaftsbury St,1/31/2016,
1003B Broad,1/31/2016,
312-403 N Buchanan,1/31/2016,
1830 James,2/7/2016,3/1/2016
2718 Highland,2/8/2016,3/3/2016
1006-B Clarendon,2/15/2016,3/1/2016
1014 Edith,2/29/2016,5/1/2016
312-105 N Buchanan,2/29/2016,3/18/2016
1001-A Carolina,2/29/2016,3/1/2016
2409 Barrymore,3/1/2016,3/15/2016
1403 Tyler Court,3/1/2016,3/1/2016
1315-C Ripley,3/4/2016,5/16/2016
1322-B Marne,3/7/2016,5/1/2016
1201-2 N Elizabeth,3/14/2016,3/15/2016
2718 Omah,3/15/2016,4/20/2016
312-307 N Buchanan,3/21/2016,4/4/2016
1001 Eno St,3/21/2016,3/24/2016
201 Albemarle,3/31/2016,5/6/2016
